timestamp,open,high,low,close,volume
2014-11-28 04:00:00,50.5128,50.5714,49.4271,49.5128,6702257
2014-12-01 04:00:00,49.2857,49.5714,48.2343,48.83,11962696
2014-12-02 04:00:00,48.7571,50.4771,48.6914,50.33,14261748
2014-12-03 04:00:00,50.2214,50.7314,49.1814,50.7314,13828868
2014-12-04 04:00:00,50.4286,51.1357,49.9086,50.0857,11858025
2014-12-05 04:00:00,50.1471,50.6428,49.7328,50.1314,9929804
2014-12-08 04:00:00,49.8814,49.9828,48.29,48.4971,13625812
2014-12-09 04:00:00,47.82,49.3371,47.0028,49.1114,17989102
2014-12-10 04:00:00,49.0214,49.2471,47.6657,47.76,12662332
2014-12-11 04:00:00,48.0128,48.7,47.6557,47.8043,11769419
2014-12-12 04:00:00,47.4171,48.3228,46.98,47.7828,13562938
2014-12-15 04:00:00,48.0557,48.4186,46.6186,46.72,12020243
2014-12-16 04:00:00,46.4271,47.07,45.1428,45.2057,16964491
2014-12-17 04:00:00,45.3757,47.8671,45.0772,47.6643,20182574
2014-12-18 04:00:00,48.4,48.9286,47.2328,47.7743,15621387
2014-12-19 04:00:00,47.9,48.72,47.6214,48.5886,14943149
2014-12-22 04:00:00,48.5428,49.24,47.7486,48.0971,8002584
2014-12-23 04:00:00,48.2871,48.4279,47.4728,48.0614,8307966
2014-12-24 04:00:00,48.0728,49.07,47.9986,48.8714,5412409
2014-12-26 04:00:00,48.8443,49.4842,48.5343,48.5786,8843278
2014-12-29 04:00:00,47.97,49.1043,47.6528,48.8471,8589290
2014-12-30 04:00:00,48.7143,49.14,48.5388,49.0328,7007541
2014-12-31 04:00:00,49.0328,49.3914,48.7871,48.8014,8582717
2015-01-02 04:00:00,49.1514,50.3314,48.7314,49.8486,13322173
2015-01-05 04:00:00,49.2586,49.2586,47.1472,47.3114,18107696
2015-01-06 04:00:00,47.3471,47.64,45.6614,46.5014,15984680
2015-01-07 04:00:00,47.3471,47.4214,46.2714,46.7428,9832490
2015-01-08 04:00:00,47.12,47.8357,46.4786,47.7793,9622448
2015-01-09 04:00:00,47.6314,48.02,46.8986,47.0414,9574337
2015-01-12 04:00:00,47.09,47.1986,45.2643,45.5471,12940624
2015-01-13 04:00:00,46.0214,47.0482,45.9,46.2557,18725580
2015-01-14 04:00:00,47.0714,47.37,45.68,46.32,19878095
2015-01-15 04:00:00,46.5471,46.7857,45.8443,46.2514,11674072
2015-01-16 04:00:00,46.8571,48.25,46.3814,48.1914,19689956
2015-01-20 04:00:00,48.5714,50.0,47.7143,49.8286,38322981
2015-01-21 04:00:00,59.2343,59.24,57.41,58.4686,66857545
2015-01-22 04:00:00,58.5714,61.3743,57.8286,61.2057,33276323
2015-01-23 04:00:00,60.9886,62.7428,60.8814,62.4936,26763437
2015-01-26 04:00:00,62.5714,63.8986,61.9571,63.7943,21250620
2015-01-27 04:00:00,63.0871,65.34,63.05,64.8814,24585673
2015-01-28 04:00:00,64.7414,64.8214,63.0814,63.2086,24485475
2015-01-29 04:00:00,63.2043,63.9271,62.5,63.4,15116309
2015-01-30 04:00:00,63.1328,63.9843,62.6557,63.1143,13208227
2015-02-02 04:00:00,62.8428,63.4286,61.9557,63.0093,12986607
2015-02-03 04:00:00,63.32,65.4671,62.73,65.2743,16415621
2015-02-04 04:00:00,65.0414,65.1743,63.8893,64.1014,12424115
2015-02-05 04:00:00,64.5414,65.1386,63.6657,64.13,14216262
2015-02-06 04:00:00,64.25,64.4286,63.1757,63.48,8891011
2015-02-09 04:00:00,63.1986,63.7857,62.6371,63.295,8177164
2015-02-10 04:00:00,63.46,65.1577,63.1014,64.85,15408839
2015-02-11 04:00:00,64.83,66.1414,64.5571,64.9843,13921331
2015-02-12 04:00:00,65.0586,65.6071,64.4514,65.2471,8471438
2015-02-13 04:00:00,65.4286,66.63,65.4228,66.5857,12947512
2015-02-17 04:00:00,66.5157,67.3714,65.9443,67.1371,11159025
2015-02-18 04:00:00,67.0228,68.07,66.6457,67.8657,10309456
2015-02-19 04:00:00,67.8571,68.7143,67.5743,67.8,10435120
2015-02-20 04:00:00,67.95,68.3744,67.6371,68.3143,9406218
2015-02-23 04:00:00,68.3,68.3143,67.1428,67.4057,9007995
2015-02-24 04:00:00,67.3728,68.0835,67.3557,67.84,6071438
2015-02-25 04:00:00,67.8071,68.7943,67.8071,68.3328,6855970
2015-02-26 04:00:00,68.6257,69.4998,68.43,69.0043,10842926
2015-02-27 04:00:00,69.0814,69.4286,67.8186,67.8443,11488424
2015-03-02 04:00:00,67.7143,68.6071,67.2343,68.6071,10180971
2015-03-03 04:00:00,68.3443,68.4564,67.5071,67.8157,7422732
2015-03-04 04:00:00,67.53,67.9257,66.1828,67.11,17451082
2015-03-05 04:00:00,67.4286,67.4642,66.42,66.8071,11246266
2015-03-06 04:00:00,66.6428,66.9259,64.8443,64.8743,12875391
2015-03-09 04:00:00,64.99,65.0928,62.8286,63.6614,18961011
2015-03-10 04:00:00,63.0157,63.3514,61.9828,62.1514,17930974
2015-03-11 04:00:00,62.24,63.9406,62.24,62.8843,16350367
